Neighborhood,Price,Sqft,Pricepsqft
foster city,2495,755,3.304635762
palo alto,2695,443,6.083521445
brisbane,3150,1242,2.536231884
palo alto,2800,,
san mateo,2196,676,3.24852071
santa clara,3264,1138,2.868189807
san jose south,2000,822,2.433090024
sunnyvale,4740,1406,3.371266003
inner sunset - UCSF,3395,,
richmond - seacliff,2699,,
SOMA - south beach,3620,860,4.209302326
dublin - pleasanton - livermore,2025,636,3.183962264
concord - pleasant hill - martinez,2378,1019,2.333660451
hercules pinole san pablo el sob,1795,715,2.51048951
corte madera,4299,1533,2.804305284
santa rosa,950,,
Fair Oaks & Olive,2695,1200,2.245833333
south san francisco,4500,,
burlingame,3900,1600,2.4375
sunnyvale,2939,1100,2.671818182
sunnyvale,2045,760,2.690789474
sunnyvale,2505,908,2.758810573
sunset - parkside,3000,,
glen park,3100,1000,3.1
fremont - union city - newark,2481,1008,2.461309524
fremont - union city - newark,2295,980,2.341836735
larkspur,3525,,
larkspur,2595,,
daly city,1400,,
san bruno,3050,,
sunnyvale,2450,952,2.573529412
santa clara,2495,1056,2.362689394
cupertino,2955,1062,2.782485876
downtown - civic - van ness,2950,,
north beach - telegraph hill,3699,,
nob hill,3400,,
dublin - pleasanton - livermore,2079,887,2.343855693
fairfield - vacaville,1794,1240,1.446774194
hayward - castro valley,1540,563,2.735346359
petaluma,2245,,
larkspur,3595,,
rohnert pk - cotati,1750,,
menlo park,2595,,
palo alto,4500,,
menlo park,3669,1154,3.179376083
cupertino,2995,945,3.169312169
san jose north,4150,2776,1.494956772
saratoga,6950,4005,1.735330836
north beach - telegraph hill,4750,,
downtown - civic - van ness,2895,,
russian hill,5400,,
concord - pleasant hill - martinez,2625,1726,1.520857474
walnut creek,1895,900,2.105555556
fremont - union city - newark,2320,985,2.355329949
santa rosa,1705,,
napa county,4250,2800,1.517857143
larkspur,3495,,
san mateo,3289,1267,2.595895817
redwood city,1375,1994,0.689568706
foster city,3600,1603,2.245789145
los gatos,1695,,
los gatos,2425,400,6.0625
los gatos,2795,950,2.942105263
nob hill,2750,,
cole valley - ashbury hts,3750,,
excelsior - outer mission,3600,1357,2.652910833
dublin - pleasanton - livermore,1799,,
san leandro,2700,1400,1.928571429
san leandro,1395,,
san rafael,2175,1200,1.8125
larkspur,3050,1000,3.05
healdsburg - windsor,2775,,
redwood shores,2895,1112,2.603417266
san mateo,3995,,
millbrae,2775,900,3.083333333
santa clara,2744,1216,2.256578947
saratoga,4899,2859,1.713536201
san jose north,2531,1150,2.200869565
marina - cow hollow,5500,,
alamo square - nopa,5875,,
financial district,4856,1211,4.009909166
oakland lake merritt - grand,1595,835,1.910179641
hercules pinole san pablo el sob,1351,734,1.840599455
hercules pinole san pablo el sob,1495,989,1.511627907
san anselmo,3200,1250,2.56
napa county,1275,690,1.847826087
lake county,1200,1640,0.731707317
san bruno,2576,532,4.842105263
mountain view,2088,,
los altos,2950,1500,1.966666667
santa clara,2769,,
san jose west,2695,1050,2.566666667
sunnyvale,2995,1116,2.683691756
glen park,3995,,
marina - cow hollow,5195,,
haight ashbury,3250,850,3.823529412
hercules pinole san pablo el sob,1350,735,1.836734694
fremont - union city - newark,2626,1320,1.989393939
albany - el cerrito,1995,,
napa county,1795,942,1.90552017
petaluma,2606,1263,2.063341251
napa county,3495,3500,0.998571429
san mateo,2739,941,2.910733262
foster city,4100,2200,1.863636364
san bruno,2046,697,2.93543759
cupertino,2307,701,3.291012839
san jose south,3450,2347,1.469961653
san jose west,2200,809,2.719406675
alamo square - nopa,15000,,
downtown - civic - van ness,3500,,
ingleside - SFSU - CCSF,950,,
albany - el cerrito,1200,,
walnut creek,1937,1000,1.937
fremont - union city - newark,2282,800,2.8525
kentfield - ross,6000,1680,3.571428571
petaluma,1575,900,1.75
sonoma,1695,,
palo alto,4900,1300,3.769230769
los altos,5995,,
los altos,2995,800,3.74375
san jose downtown,2145,808,2.65470297
los gatos,2600,1170,2.222222222
sunnyvale,2895,1100,2.631818182
alamo square - nopa,3475,,
ingleside - SFSU - CCSF,4400,1900,2.315789474
950 Linden Ave Ste B,34,,
fairfield - vacaville,1308,740,1.767567568
walnut creek,2176,1000,2.176
brentwood - oakley,2150,2067,1.040154814
sausalito,3800,,
tiburon - belvedere,3450,1080,3.194444444
tiburon - belvedere,3398,1130,3.007079646
pacifica,2987,1015,2.942857143
millbrae,3495,1068,3.27247191
mountain view,2145,530,4.047169811
san jose north,2405,702,3.425925926
san jose west,1575,,
santa clara,1695,,
ingleside - SFSU - CCSF,3299,1090,3.026605505
nob hill,3399,,
mission district,4200,1500,2.8
danville - san ramon,1025,,
alameda,1850,975,1.897435897
hercules pinole san pablo el sob,1450,,
tiburon - belvedere,3398,1130,3.007079646
tiburon - belvedere,3498,1130,3.095575221
san mateo,3330,915,3.639344262
foster city,2363,,
cupertino,2895,1000,2.895
sunnyvale,2150,600,3.583333333
inner richmond,2200,,
sunset - parkside,2500,,
walnut creek,1635,,
fairfield - vacaville,1286,,
sausalito,3200,1322,2.420574887
san rafael,2295,1077,2.13091922
redwood shores,2895,1112,2.603417266
san mateo,2950,1600,1.84375
sunnyvale,2149,700,3.07
san jose south,1825,675,2.703703704
sunnyvale,2498,900,2.775555556
russian hill,3644,,
noe valley,4499,,
oakland west,1695,,
walnut creek,1000,,
AMERICAN CANYON,2500,,
san anselmo,3900,2200,1.772727273
mill valley,4950,1850,2.675675676
san mateo,2130,676,3.150887574
foster city,3200,1230,2.601626016
san jose south,1725,700,2.464285714
milpitas,2100,820,2.56097561
potrero hill,3475,,
ingleside - SFSU - CCSF,3500,1100,3.181818182
,2495,,
hercules pinole san pablo el sob,1800,1110,1.621621622
oakland lake merritt - grand,3000,,
sausalito,3200,,
napa county,2850,1538,1.853055917
san mateo,2600,,
pacifica,1750,400,4.375
palo alto,1995,650,3.069230769
santa clara,1595,,
san jose north,1890,721,2.621359223
950 Linden Ave Ste B,32,,
richmond - seacliff,2700,750,3.6
dublin - pleasanton - livermore,2230,920,2.423913043
oakland hills - mills,2395,1123,2.132680321
walnut creek,1975,600,3.291666667
rohnert pk - cotati,1654,920,1.797826087
novato,2975,1730,1.719653179
foster city,2924,1050,2.784761905
SAN BRUNO,1400,,
belmont,2070,500,4.14
san jose west,1287,,
san jose north,1989,732,2.717213115
campbell,1775,650,2.730769231
downtown - civic - van ness,4555,879,5.182025028
SOMA - south beach,2299,,
fremont - union city - newark,1745,,
vallejo - benicia,1706,778,2.192802057
tiburon - belvedere,5795,,
healdsburg - windsor,1395,,
palo alto,3975,1200,3.3125
san mateo,2539,904,2.808628319
belmont,2452,950,2.581052632
san jose downtown,2640,1056,2.5
santa clara,2445,1060,2.306603774
russian hill,3699,,
SOMA - south beach,3049,,
Lodi,1195,1349,0.885841364
walnut creek,2100,,
Oakdale,1325,1346,0.984398217
santa rosa,2199,,
petaluma,1450,650,2.230769231
san anselmo,2199,850,2.587058824
pacifica,2900,1000,2.9
mountain view,2188,,
los gatos,1800,625,2.88
san jose downtown,2270,793,2.862547289
noe valley,4995,,
north beach - telegraph hill,4209,,
oakland north - temescal,2955,1405,2.103202847
alameda,1750,,
santa rosa,3600,2800,1.285714286
napa county,2000,,
redwood shores,2495,743,3.358008075
san mateo,2082,782,2.662404092
san jose downtown,2685,1051,2.5547098
los gatos,1250,,
san jose downtown,1950,800,2.4375
nob hill,2400,350,6.857142857
twin peaks - diamond hts,5010,1265,3.960474308
alameda,1850,720,2.569444444
hayward - castro valley,1775,866,2.04965358
rohnert pk - cotati,1595,1150,1.386956522
lake county,500,,
half moon bay,1485,1936,0.767045455
belmont,2850,1150,2.47826087
SAN BRUNO,2200,,
san jose south,1725,700,2.464285714
san jose downtown,3823,1077,3.549675023
san jose south,1905,746,2.553619303
ingleside - SFSU - CCSF,3900,1100,3.545454545
nob hill,4674,,
oakland downtown,1850,925,2
berkeley,3400,779,4.364569961
napa county,975,600,1.625
tiburon - belvedere,4650,1275,3.647058824
menlo park,3949,1340,2.947014925
san mateo,3695,1150,3.213043478
san jose downtown,3527,1412,2.497875354
cupertino,2517,546,4.60989011
alamo square - nopa,6600,1900,3.473684211
laurel hts - presidio,3200,650,4.923076923
dublin - pleasanton - livermore,2395,2698,0.887694589
hercules pinole san pablo el sob,2295,1680,1.366071429
vallejo - benicia,1950,2125,0.917647059
sebastopol,1900,,
san rafael,2231,650,3.432307692
belmont,2457,950,2.586315789
redwood city,4700,1416,3.31920904
san jose downtown,1375,450,3.055555556
san jose west,1375,,
marina - cow hollow,3795,,
castro - upper market,5850,1900,3.078947368
ingleside - SFSU - CCSF,3150,,
walnut creek,2400,1200,2
oakland west,1550,,
oakland lake merritt - grand,1695,,
santa rosa,1850,,
rohnert pk - cotati,1595,1200,1.329166667
menlo park,3664,1154,3.175043328
san mateo,3595,1059,3.394711992
belmont,2850,1150,2.47826087
san jose downtown,1375,450,3.055555556
san jose downtown,2482,676,3.671597633
santa clara,2700,1260,2.142857143
russian hill,5199,,
ingleside - SFSU - CCSF,3105,942,3.296178344
oakland west,2295,,
oakland west,2095,,
Brand New room- Month to Month,,,
rohnert pk - cotati,1600,1200,1.333333333
greenbrae,2600,,
san carlos,3700,1700,2.176470588
burlingame,1800,,
san jose west,2200,725,3.034482759
san jose downtown,1376,450,3.057777778
castro - upper market,5850,1900,3.078947368
richmond - seacliff,3050,,
cole valley - ashbury hts,6395,,
oakland lake merritt - grand,1625,,
Tracy Livermore,1885,1064,1.771616541
rohnert pk - cotati,1600,1150,1.391304348
rohnert pk - cotati,1695,932,1.818669528
santa rosa,1725,1068,1.615168539
foster city,2785,1350,2.062962963
mountain view,2489,705,3.530496454
redwood city,2566,638,4.021943574
sunnyvale,1900,615,3.089430894
sunnyvale,1900,615,3.089430894
SOMA - south beach,3095,561,5.516934046
castro - upper market,2695,,
dublin - pleasanton - livermore,2395,2698,0.887694589
oakland hills - mills,2795,,
santa rosa,2000,1550,1.290322581
novato,2500,1358,1.840942563
rohnert pk - cotati,1995,1240,1.608870968
palo alto,6000,2100,2.857142857
san bruno,2700,850,3.176470588
san jose north,2210,928,2.381465517
santa clara,1796,750,2.394666667
santa clara,1796,750,2.394666667
excelsior - outer mission,1500,250,6
russian hill,5630,,
Guerrero-Market,3200,620,5.161290323
oakland lake merritt - grand,1995,,
oakland piedmont - montclair,2595,,
walnut creek,1100,600,1.833333333
san rafael,2491,846,2.944444444
petaluma,1950,1500,1.3
san rafael,1950,,
foster city,2251,820,2.745121951
foster city,2793,876,3.188356164
santa clara,1625,600,2.708333333
